10 : 10, data missing, NULL
6 1 1 1 1 : 4 2 2 1 1, data missing, 0
6 1 1 1 1 : 4 2 1 1 1 1, data missing, 4
6 1 1 1 1 : 4 1 1 1 1 1 1, data missing, 8
6 1 1 1 1 : 3 3 3 1, data missing, -1
6 1 1 1 1 : 3 3 2 2, data missing, 0
6 1 1 1 1 : 3 3 2 1 1, data missing, 0
6 1 1 1 1 : 3 3 1 1 1 1, data missing, 4
6 1 1 1 1 : 3 2 2 2 1, data missing, 0
6 1 1 1 1 : 3 2 2 1 1 1, data missing, 4
6 1 1 1 1 : 3 2 1 1 1 1 1, data missing, 8
6 1 1 1 1 : 3 1 1 1 1 1 1 1, data missing, 12
6 1 1 1 1 : 2 2 2 2 2, data missing, 0
6 1 1 1 1 : 2 2 2 2 1 1, data missing, 4
6 1 1 1 1 : 2 2 2 1 1 1 1, data missing, 8
6 1 1 1 1 : 2 2 1 1 1 1 1 1, data missing, 12
6 1 1 1 1 : 2 1 1 1 1 1 1 1 1, data missing, 16
5 5 : 5 5, data missing, 0
5 5 : 5 4 1, data missing, 0
5 5 : 5 3 2, data missing, 0
5 5 : 5 3 1 1, data missing, 0
5 5 : 5 2 2 1, data missing, 0
5 5 : 5 2 1 1 1, data missing, 0
5 5 : 5 1 1 1 1 1, data missing, 0
5 5 : 4 4 2, data missing, 0
5 5 : 4 4 1 1, data missing, 1
5 5 : 4 3 3, data missing, 0
5 5 : 4 3 2 1, data missing, 1
5 5 : 4 3 1 1 1, data missing, 2
5 5 : 4 2 2 2, data missing, 1
5 5 : 4 2 2 1 1, data missing, 2
5 5 : 4 2 1 1 1 1, data missing, 3
5 5 : 4 1 1 1 1 1 1, data missing, 4
5 5 : 3 3 3 1, data missing, 1
5 5 : 3 3 2 2, data missing, 1
5 5 : 3 3 2 1 1, data missing, 2
5 5 : 3 3 1 1 1 1, data missing, 3
5 5 : 3 2 2 2 1, data missing, 2
5 5 : 3 2 2 1 1 1, data missing, 3
5 5 : 3 2 1 1 1 1 1, data missing, 4
5 5 : 3 1 1 1 1 1 1 1, data missing, 5
5 5 : 2 2 2 2 2, data missing, 2
5 5 : 2 2 2 2 1 1, data missing, 3
5 5 : 2 2 2 1 1 1 1, data missing, 4
5 5 : 2 2 1 1 1 1 1 1, data missing, 5
5 5 : 2 1 1 1 1 1 1 1 1, data missing, 6
5 4 1 : 5 4 1, data missing, 0
5 4 1 : 5 3 2, data missing, 0
5 4 1 : 5 3 1 1, data missing, 1
5 4 1 : 5 2 2 1, data missing, 1
5 4 1 : 5 2 1 1 1, data missing, 2
5 4 1 : 5 1 1 1 1 1, data missing, 3
5 4 1 : 4 4 2, data missing, 1
5 4 1 : 4 4 1 1, data missing, 3
5 4 1 : 4 3 3, data missing, 1
5 4 1 : 4 3 2 1, data missing, 3
5 4 1 : 4 3 1 1 1, data missing, 5
5 4 1 : 4 2 2 2, data missing, 3
5 4 1 : 4 2 2 1 1, data missing, 5
5 4 1 : 4 2 1 1 1 1, data missing, 7
5 4 1 : 4 1 1 1 1 1 1, data missing, 9
5 4 1 : 3 3 3 1, data missing, 3
5 4 1 : 3 3 2 2, data missing, 3
5 4 1 : 3 3 2 1 1, data missing, 5
5 4 1 : 3 3 1 1 1 1, data missing, 7
5 4 1 : 3 2 2 2 1, data missing, 5
5 4 1 : 3 2 2 1 1 1, data missing, 7
5 4 1 : 3 2 1 1 1 1 1, data missing, 9
5 4 1 : 3 1 1 1 1 1 1 1, data missing, 11
5 4 1 : 2 2 2 2 2, data missing, 5
5 4 1 : 2 2 2 2 1 1, data missing, 7
5 4 1 : 2 2 2 1 1 1 1, data missing, 9
5 4 1 : 2 2 1 1 1 1 1 1, data missing, 11
5 4 1 : 2 1 1 1 1 1 1 1 1, data missing, 13
5 3 2 : 5 3 2, data missing, 0
5 3 2 : 5 3 1 1, data missing, 0
5 3 2 : 5 2 2 1, data missing, 1
5 3 2 : 5 2 1 1 1, data missing, 2
5 3 2 : 5 1 1 1 1 1, data missing, 3
5 3 2 : 4 4 2, data missing, 0
5 3 2 : 4 4 1 1, data missing, 0
5 3 2 : 4 3 3, data missing, 1
5 3 2 : 4 3 2 1, data missing, 3
5 3 2 : 4 3 1 1 1, data missing, 5
5 3 2 : 4 2 2 2, data missing, 3
5 3 2 : 4 2 2 1 1, data missing, 5
5 3 2 : 4 2 1 1 1 1, data missing, 7
5 3 2 : 4 1 1 1 1 1 1, data missing, 9
5 3 2 : 3 3 3 1, data missing, 3
5 3 2 : 3 3 2 2, data missing, 3
5 3 2 : 3 3 2 1 1, data missing, 5
5 3 2 : 3 3 1 1 1 1, data missing, 7
5 3 2 : 3 2 2 2 1, data missing, 5
5 3 2 : 3 2 2 1 1 1, data missing, 7
5 3 2 : 3 2 1 1 1 1 1, data missing, 9
5 3 2 : 3 1 1 1 1 1 1 1, data missing, 11
5 3 2 : 2 2 2 2 2, data missing, 5
5 3 2 : 2 2 2 2 1 1, data missing, 7
5 3 2 : 2 2 2 1 1 1 1, data missing, 9
5 3 2 : 2 2 1 1 1 1 1 1, data missing, 11
5 3 2 : 2 1 1 1 1 1 1 1 1, data missing, 13
5 3 1 1 : 5 3 1 1, data missing, 0
5 3 1 1 : 5 2 2 1, data missing, 0
5 3 1 1 : 5 2 1 1 1, data missing, 2
5 3 1 1 : 5 1 1 1 1 1, data missing, 4
5 3 1 1 : 4 4 2, data missing, 0
5 3 1 1 : 4 4 1 1, data missing, 0
5 3 1 1 : 4 3 3, data missing, 1
5 3 1 1 : 4 3 2 1, data missing, 1
5 3 1 1 : 4 3 1 1 1, data missing, 5
5 3 1 1 : 4 2 2 2, data missing, 2
5 3 1 1 : 4 2 2 1 1, data missing, 5
5 3 1 1 : 4 2 1 1 1 1, data missing, 8
